FC gene
0.447161643382979 AIMP2
-0.132799550016868 AIP
-0.305657691568987 AIRIM
1.02971771488773 AJM1
1.56406493783212 AJUBA
-0.334243989845194 AK1
-0.339816222875548 AK2
-0.375213161058243 AK3
1.04038873668395 AK3P3
-0.665064414666451 AK4
-0.0490728622989816 AK4P1
0.056271644992799 AK4P3
0.759747219479716 AK5
-0.306764474660664 AK6
0.439062079938827 AK7
2.15604412722113 AK8
0.530076742144284 AK9
0.854936037922914 AKAIN1
-0.602841739679916 AKAP1
-0.070619834423397 AKAP10
0.03225312151664 AKAP11
0.400624737893342 AKAP12
2.62116241824939 AKAP13
-1.06861731371957 AKAP14
0.382036033875868 AKAP17A
1.50768474565591 AKAP3
-0.106835008614681 AKAP4
0.799010029213612 AKAP5
0.683474702036563 AKAP6
0.602817724756982 AKAP7
-0.321629629673704 AKAP8
-0.124851894257688 AKAP8L
0.148266091102488 AKAP9
0.471258618732826 AKIP1
0.00516560965113495 AKIRIN1
0.400123449684692 AKIRIN2
3.42878410092087 AKNA
0.854936037922914 AKNAD1
0.27853229099577 AKR1A1
0.215849386127514 AKR1B1
0.854936037922914 AKR1B10
-1.06861731371957 AKR1B15
0.595533433656948 AKR1C1
0.778876281957814 AKR1C2
-0.262387862052574 AKR1C3
0.41943677179468 AKR1C7P
0.854936037922914 AKR1C8
-0.180898183556267 AKR1E2
0.546377184221509 AKR7A2
0.805080362345437 AKR7A3
0.175092207060119 AKR7L
-0.234186073682266 AKT1
-0.385781635496621 AKT1S1
-0.260614579493703 AKT2
2.08926405825365 AKT3
0.970445843009004 AKTIP
0.10860729290411 ALAD
-0.397399914266227 ALAS1
0.389328826371448 ALAS2
3.12859114789615 ALB
3.491544895644 ALCAM
0.501558457106135 ALDH16A1
-0.761601584291104 ALDH18A1
1.71843948108325 ALDH1A1
-0.129673411829764 ALDH1A2
-0.931271821668236 ALDH1B1
1.83606409806664 ALDH1L1
3.16522019708995 ALDH1L2
1.26536720219266 ALDH2
0.266367695246967 ALDH3A2
2.74154888918781 ALDH3B1
-0.23798935047516 ALDH4A1
-0.0218106165813896 ALDH5A1
-0.0255482699216939 ALDH6A1
-1.20637739636645 ALDH8A1
0.104631549724561 ALDH9A1
-0.395755578324754 ALDOA
-1.27439028844143 ALDOC
-0.355359113064252 ALG1
-0.0156241958167891 ALG10
0.924120242503513 ALG10B
-0.294129531455821 ALG11
-0.396085433305598 ALG12
-0.0583505787780348 ALG13
-0.466704065972633 ALG14
-0.972269563205282 ALG1L10P
1.87961895831275 ALG1L13P
1.74938232703404 ALG1L1P
-3.05004850799672 ALG1L2
0.854936037922915 ALG1L3P
2.73735916317767 ALG1L6P
-0.379606131100867 ALG1L7P
0.854936037922915 ALG1L8P
-1.92511260912401 ALG1L9P
0.276014124936565 ALG2
-0.355244288709973 ALG3
-0.239130109537768 ALG5
0.00215268349902602 ALG6
-0.144101120866134 ALG8
0.0900414360927978 ALG9
-0.200844140436409 ALKBH1
-0.366495526554218 ALKBH2
0.757105487004101 ALKBH3
-0.642642518042575 ALKBH4
0.122926596678309 ALKBH5
-0.217040185975676 ALKBH6
-0.375985624436229 ALKBH7
-0.555569698305888 ALKBH8
0.120785173805785 ALMS1
3.9242366870129 ALOX12
-0.747104331072503 ALOX12P2
1.22451736336093 ALOX5
4.20761474420151 ALOX5AP
3.33158959787694 ALOXE3
2.66567105738457 ALPK1
5.25788033975281 ALPK2
0.606098786277901 ALPK3
0.573943394081029 ALPL
0.397267362813954 ALS2
3.77918265239266 ALS2CL
-1.06861731371957 ALX1
0.9007888338098 ALX4
-0.579579741918574 ALYREF
0.969618750795206 AMACR
0.854936037922915 AMBN
